ver_format,fmt_opt,app,ver_app,device_id,tick,date,time,device,s_0,s_1,s_2,s_3,s_d0,s_d1,s_d2,s_t0,s_h0,gps_lat,gps_lon,gps_fix,gps_num,gps_alt
3,1,AirBox,0.35.2,74DA38C7D01A,1513810306,2017-12-21,06:51:46,中壢區普仁國小,596,100,1,0,20,25,15,15.62,65,24.948,121.244,1,9,2
3,1,AirBox,0.35.2,74DA38C7D01A,1513813201,2017-12-21,07:40:01,中壢區普仁國小,604,100,1,0,23,29,17,15.87,62,24.948,121.244,1,9,2
3,1,AirBox,0.35.2,74DA38C7D01A,1513813564,2017-12-21,07:46:04,中壢區普仁國小,605,100,1,0,24,30,17,16,62,24.948,121.244,1,9,2
3,1,AirBox,0.35.2,74DA38C7D0F4,1513792554,2017-12-21,01:55:54,yulin03_興南里,19,100,1,0,14,16,11,18.62,62,23.691,120.438,1,9,2
3,1,AirBox,0.35.2,74DA38C7D0F4,1513796527,2017-12-21,03:02:07,yulin03_興南里,30,100,1,0,15,16,12,18.62,61,23.691,120.438,1,9,2
3,1,AirBox,0.35.2,74DA38C7D0F4,1513796889,2017-12-21,03:08:09,yulin03_興南里,31,100,1,0,20,22,16,18.62,62,23.691,120.438,1,9,2
3,1,AirBox,0.35.2,74DA38C7D0F4,1513799785,2017-12-21,03:56:25,yulin03_興南里,39,100,1,0,42,50,32,18.62,61,23.691,120.438,1,9,2
3,1,AirBox,0.35.2,74DA38C7D0F4,1513801230,2017-12-21,04:20:30,yulin03_興南里,43,100,1,0,13,14,10,18.62,61,23.691,120.438,1,9,2
3,1,AirBox,0.35.2,74DA38C7D0F4,1513807370,2017-12-21,06:02:50,yulin03_興南里,60,100,1,0,13,14,10,18.75,60,23.691,120.438,1,9,2
3,1,AirBox,0.35.2,74DA38C7D0F4,1513807731,2017-12-21,06:08:51,yulin03_興南里,61,100,1,0,16,17,13,18.75,60,23.691,120.438,1,9,2
3,1,AirBox,0.35.2,74DA38C7D0F4,1513809177,2017-12-21,06:32:57,yulin03_興南里,65,100,1,0,15,18,12,18.87,60,23.691,120.438,1,9,2
3,1,AirBox,0.35.2,74DA38C7D0F4,1513809539,2017-12-21,06:38:59,yulin03_興南里,66,100,1,0,18,21,15,18.87,60,23.691,120.438,1,9,2
3,1,AirBox,0.35.2,74DA38C7D0F4,1513811347,2017-12-21,07:09:07,yulin03_興南里,71,100,1,0,17,20,14,19,60,23.691,120.438,1,9,2
3,1,AirBox,0.35.2,74DA38C7D0F4,1513812431,2017-12-21,07:27:11,yulin03_興南里,74,100,1,0,18,21,15,19.12,61,23.691,120.438,1,9,2
3,1,AirBox,0.35.2,74DA38C7D0F4,1513813519,2017-12-21,07:45:19,yulin03_興南里,77,100,1,0,23,25,18,19.25,60,23.691,120.438,1,9,2
3,1,AirBox,0.35.2,74DA38C7D0F4,1513813880,2017-12-21,07:51:20,yulin03_興南里,78,100,1,0,21,24,17,19.37,60,23.691,120.438,1,9,2
3,1,AirBox,0.35.2,74DA38C7D00E,1513791274,2017-12-21,01:34:34,雲林縣民生國小,101,100,1,0,22,24,17,19.62,64,23.767,120.597,1,9,2
3,1,AirBox,0.35.2,74DA38C7D00E,1513792364,2017-12-21,01:52:44,雲林縣民生國小,104,100,1,0,25,27,19,19.75,64,23.767,120.597,1,9,2
3,1,AirBox,0.35.2,74DA38C7D00E,1513793454,2017-12-21,02:10:54,雲林縣民生國小,107,100,1,0,25,28,19,19.75,65,23.767,120.597,1,9,2
3,1,AirBox,0.35.2,74DA38C7D00E,1513793817,2017-12-21,02:16:57,雲林縣民生國小,108,100,1,0,25,27,19,19.5,64,23.767,120.597,1,9,2
3,1,AirBox,0.35.2,74DA38C7D00E,1513794179,2017-12-21,02:22:59,雲林縣民生國小,109,100,1,0,26,29,19,19.37,65,23.767,120.597,1,9,2
3,1,AirBox,0.35.2,74DA38C7D00E,1513794544,2017-12-21,02:29:04,雲林縣民生國小,110,100,1,0,27,29,19,19.37,66,23.767,120.597,1,9,2
3,1,AirBox,0.35.2,74DA38C7D00E,1513796361,2017-12-21,02:59:21,雲林縣民生國小,115,100,1,0,25,27,18,19.37,65,23.767,120.597,1,9,2
3,1,AirBox,0.35.2,74DA38C7D00E,1513797092,2017-12-21,03:11:32,雲林縣民生國小,117,100,1,0,25,27,18,19.25,66,23.767,120.597,1,9,2
3,1,AirBox,0.35.2,74DA38C7D00E,1513798186,2017-12-21,03:29:46,雲林縣民生國小,120,100,1,0,23,24,16,18.87,66,23.767,120.597,1,9,2
3,1,AirBox,0.35.2,74DA38C7D00E,1513800003,2017-12-21,04:00:03,雲林縣民生國小,124,100,1,0,16,17,13,19,64,23.767,120.597,1,9,2
3,1,AirBox,0.35.2,74DA38C7D00E,1513800366,2017-12-21,04:06:06,雲林縣民生國小,125,100,1,0,17,18,13,19.25,64,23.767,120.597,1,9,2
3,1,AirBox,0.35.2,74DA38C7D00E,1513801821,2017-12-21,04:30:21,雲林縣民生國小,129,100,1,0,23,26,16,19.12,63,23.767,120.597,1,9,2
3,1,AirBox,0.35.2,74DA38C7D00E,1513802914,2017-12-21,04:48:34,雲林縣民生國小,132,100,1,0,18,20,14,19.5,63,23.767,120.597,1,9,2
3,1,AirBox,0.35.2,74DA38C7D00E,1513810168,2017-12-21,06:49:28,雲林縣民生國小,152,100,1,0,14,15,11,19.5,62,23.767,120.597,1,9,2
3,1,AirBox,0.35.2,74DA38C7D00E,1513811619,2017-12-21,07:13:39,雲林縣民生國小,156,100,1,0,14,15,11,19.62,61,23.767,120.597,1,9,2
3,1,AirBox,0.35.2,74DA38C7D0E8,1513793601,2017-12-21,02:13:21,文南路口_4G,1383,100,1,0,19,20,14,18.25,84,22.988,120.189,1,9,2
3,1,AirBox,0.35.2,74DA38C7D0E8,1513803005,2017-12-21,04:50:05,文南路口_4G,1409,100,1,0,22,24,17,17.75,86,22.988,120.189,1,9,2
3,1,AirBox,0.35.2,74DA38C7D0E8,1513804089,2017-12-21,05:08:09,文南路口_4G,1412,100,1,0,19,22,14,17.5,87,22.988,120.189,1,9,2
3,1,AirBox,0.35.2,74DA38C7D0E8,1513808435,2017-12-21,06:20:35,文南路口_4G,1424,100,1,0,21,25,16,17.37,87,22.988,120.189,1,9,2
3,1,AirBox,0.35.2,74DA38C7D0E8,1513810606,2017-12-21,06:56:46,文南路口_4G,1430,100,1,0,27,31,20,17.37,89,22.988,120.189,1,9,2
3,1,AirBox,0.35.2,74DA38C7D0E8,1513810971,2017-12-21,07:02:51,文南路口_4G,1431,100,1,0,29,34,21,17.37,88,22.988,120.189,1,9,2
3,1,AirBox,0.35.2,74DA38C7D0E8,1513812787,2017-12-21,07:33:07,文南路口_4G,1436,100,1,0,31,35,23,17.62,87,22.988,120.189,1,9,2
3,1,AirBox,0.35.2,74DA38C7D0E8,1513813150,2017-12-21,07:39:10,文南路口_4G,1437,100,1,0,29,33,22,17.75,86,22.988,120.189,1,9,2
